"FirstName","LastName","lat","lon","county","city","state","LandValue","DwellingUnitSize","PropertyType","EstHomeValue"
"Gordon","Gutkowski",45.83338,-101.1483,"Corson County","Standing Rock Reservation","South Dakota","","1-Single Family Dwelling","Apartment/Group Living","$120731"
"Stephen","Braun",38.57418,-100.4122,"Lane County","Shields","Kansas","$18000","50-100","Residential","$166800"
"Claris","O'Conner",34.76787,-88.09754,"Colbert County","Margerum","Alabama","$15000","1-Single Family Dwelling","Residential","$187500"
"Thanh","Hauck",41.54311,-83.66605,"Wood County","Perrysburg","Ohio","","1-Single Family Dwelling","Unknown","$327082"
"Sonny","Mohr",38.18269,-122.06885,"Solano County","Fairfield","California","$2000","1-Single Family Dwelling","Apartment/Group Living","$198152"
"Glenn","Hackett",40.29433,-121.67637,"Tehama County","Lyonsville","California","$23000","1-Single Family Dwelling","Residential","$325000"
"Cyril","Beatty",43.0722,-91.60015,"Clayton County","Postville","Iowa","$2000","1-Single Family Dwelling","Residential","$260200"
"Earline","Thiel",39.55307,-97.83145,"Cloud County","Jamestown","Kansas","$11000","","Residential","$189900"
"Xiomara","McGlynn",42.14915,-93.83578,"Boone County","Griffen","Iowa","$16000","1-Single Family Dwelling","Residential","$119300"
"Kent","Schinner",36.58896,-94.54133,"McDonald County","Noel","Missouri","$17000","1-Single Family Dwelling","Residential","$122400"
"Norris","Smith",33.13595,-85.88885,"Clay County","Millerville","Alabama","$25000","1-Single Family Dwelling","Residential","$151600"
"Ira","Kunde",32.58101,-80.15991,"Charleston County","Seabrook Island","South Carolina","$8000","1-Single Family Dwelling","Residential","$90200"
"Felisa","Koss",35.3948,-87.3114,"Lawrence County","Summertown","Tennessee","","","Residential","$194601"
"Devon","Cole",42.43165,-101.86212,"Cherry County","Gordon Valley Reservoir","Nebraska","$18000","1-Single Family Dwelling","Residential","$251800"
"Alvin","Lang",38.21093,-81.62706,"Kanawha County","Marmet","West Virginia","","1-Single Family Dwelling","Residential","$139500"
"Aracely","Moen",44.41663,-93.33105,"Rice County","Millersburg","Minnesota","$29000","1-Single Family Dwelling","Residential","$107400"
"Keven","Rice",40.92288,-74.65766,"Sussex County","Hopatcong","New Jersey","$14000","1-Single Family Dwelling","Residential","$187500"
"Shaquita","Waters",37.6699,-108.48024,"Dolores County","Dunham Place Number 2 Reservoir","Colorado","$21000","","Residential","$375000"
"Darius","Schaden",44.97452,-67.83278,"Washington County","Canaan Ridge","Maine","$9000","","Residential","$162000"
"Bryanna","Hudson",47.73789,-121.00649,"Chelan County","Berne","Washington","$27000","","Residential","$305700"
"Rosendo","Hilpert",33.84913,-112.58761,"Maricopa County","Morristown","Arizona","$10000","","Residential","$165526"
"Ramona","Skiles",35.36942,-120.86768,"San Luis Obispo County","Morro Bay","California","$8000","1-Single Family Dwelling","Residential","$398500"
"Kenda","Abbott",34.21149,-90.85705,"Coahoma County","Reese Landing","Mississippi","$16000","1-Single Family Dwelling","Residential","$140200"
"Tad","Kessler",43.19857,-94.83804,"Palo Alto County","Fallow","Iowa","$10000","1-Single Family Dwelling","Residential","$285300"
"Jimmy","Heaney",63.86972,-148.71528,"Denali Borough","Usibelli","Alaska","$20000","1-Single Family Dwelling","Residential","$311600"
"Elton","Stracke",41.15643,-86.27056,"Fulton County","Richland Center","Indiana","","1-Single Family Dwelling","Residential","$134900"
"Tamra","Halvorson",34.33,-118.7962,"Ventura County","Simi Valley","California","$13000","1-Single Family Dwelling","Residential","$143600"
"Jade","Schultz",38.35892,-91.54646,"Gasconade County","Owensville","Missouri","$7000","1-Single Family Dwelling","Residential","$155300"
"Dusty","Carter",31.36097,-102.34903,"Crane County","Crane","Texas","$13000","1-Single Family Dwelling","Residential","$165300"
"Jae","Hartmann",34.60138,-111.88571,"Yavapai County","Camp Verde","Arizona","$6000","3-Triplex","Residential","$396300"
"Nathaniel","Howe",30.44797,-87.25831,"Escambia County","Pensacola","Florida","$4000","2-Duplex","Residential","$98800"
"Porter","Macejkovic",39.014,-77.52388,"Loudoun County","Broadlands","Virginia","$19000","1-Single Family Dwelling","Residential","$186438"
"Allie","Labadie",44.64003,-91.58963,"Eau Claire County","Nelsonville (historical)","Wisconsin","$14000","10-19","Condominium","$287500"
"Dan","Koch",46.76881,-114.44262,"Missoula County","Chief Joseph Gulch","Montana","","1-Single Family Dwelling","Residential","$144900"
"Enrique","Bailey",35.57119,-91.47902,"Independence County","Thida","Arkansas","$19000","","Residential","$365400"
"James","Wolf",37.09889,-76.49528,"City of Newport News","Newport News","Virginia","$9000","1-Single Family Dwelling","Residential","$81400"
"Romana","Champlin",31.83243,-81.60539,"Liberty County","Hinesville","Georgia","$24000","1-Single Family Dwelling","Apartment/Group Living","$146100"
"Romaine","Beer",36.06121,-95.9036,"Tulsa County","Jenks","Oklahoma","","1-Single Family Dwelling","Apartment/Group Living","$178595"
"Sherryl","Rowe",37.58092,-83.40824,"Breathitt County","Jackson","Kentucky","$42000","","Apartment/Group Living","$197753"
"Reinaldo","Stiedemann",41.87315,-72.85815,"Hartford County","West Simsbury","Connecticut","","1-Single Family Dwelling","Residential","$212500"
"Blair","Beier",41.43255,-81.46678,"Cuyahoga County","Solon","Ohio","","1-Single Family Dwelling","Residential","$138400"
"Long","McClure",61.9488,-149.1706,"Matanuska-Susitna Borough","Bartholf Creek","Alaska","$41000","1-Single Family Dwelling","Residential","$144900"
"Enid","Schroeder",28.5554,-81.5978,"Orange County","Winter Garden","Florida","$9000","","Duplex","$237499"
"Mozella","Kohler",31.93545,-94.60076,"Rusk County","Lawsonville","Texas","$14000","1-Single Family Dwelling","Triplex","$160400"
"Jose","Roob",34.77582,-115.83222,"San Bernardino County","Old Dad Mountains","California","","1-Single Family Dwelling","Residential","$65400"
"Agustin","Gleichner",37.37588,-86.28636,"Grayson County","Anneta","Kentucky","$14000","","Apartment/Group Living","$181943"
"Oliver","Champlin",38.03933,-119.67202,"Tuolumne County","Upper Branigan Lake","California","","5-9","Residential","$82500"
"Marcos","Harvey",31.03971,-91.97696,"Avoyelles Parish","Moreauville","Louisiana","","1-Single Family Dwelling","Unknown","$127940"
"Quintin","Pagac",42.6291,-83.1352,"Oakland County","Troy","Michigan","$23000","","Residential","$148900"
"Hank","Bergnaum",31.68156,-93.83296,"Shelby County","Ragtown","Texas","$21000","","Residential","$52400"
"Long","Nicolas",37.51366,-94.64885,"Crawford County","Fox Town","Kansas","$14000","1-Single Family Dwelling","Residential","$425000"
"Alexander","Murazik",48.25893,-109.7648,"Hill County","Rocky Boy's Agency","Montana","","1-Single Family Dwelling","Apartment/Group Living","$122900"
"Erna","Rath",42.89389,-109.89278,"Sublette County","Pinedale","Wyoming","","1-Single Family Dwelling","Residential","$325000"
"Evie","Abbott",43.72572,-74.97545,"Herkimer County","Old Forge","New York","","","Residential","$179000"
"Antone","Daniel",55.16922,-160.48548,"Aleutians East Borough","Unga","Alaska","","1-Single Family Dwelling","Residential","$90700"
"Blair","Romaguera",40.72306,-73.83861,"Queens County","Queens","New York","$2000","1-Single Family Dwelling","Residential","$187797"
"Hortencia","Considine",41.43361,-82.05833,"Lorain County","Avon","Ohio","$11000","1-Single Family Dwelling","Apartment/Group Living","$107529"
"Nickie","Carter",47.5939,-104.65801,"Dawson County","Round Butte School (historical)","Montana","$12000","5-9","Residential","$180400"
"Nathan","Heller",37.64309,-93.5302,"Polk County","Fair Play","Missouri","$22000","1-Single Family Dwelling","Residential","$64300"
"Jeanette","Rippin",64.95389,-147.99333,"Fairbanks North Star Borough","West Fork Moose Creek","Alaska","$13000","1-Single Family Dwelling","Residential","$122500"
"Steve","Hagenes",40.44809,-88.15616,"Ford County","Paxton","Illinois","","","Residential","$135800"
"Winfred","Brekke",44.89441,-94.00997,"Carver County","Lester Prairie","Minnesota","$15000","1-Single Family Dwelling","Residential","$83900"
"Nicolas","Lehner",35.37474,-88.83123,"Chester County","Silerton","Tennessee","$33000","1-Single Family Dwelling","Residential","$248700"
"Danelle","Lubowitz",34.30997,-84.42336,"Cherokee County","Ball Ground","Georgia","$6000","1-Single Family Dwelling","Residential","$237500"
"Carita","Tromp",48.80086,-105.35055,"Daniels County","Scobey","Montana","$92000","","Residential","$326200"
"Kareem","Klein",37.21772,-121.06826,"Merced County","Gustine","California","$8000","1-Single Family Dwelling","Residential","$245321"
"India","Schuppe",42.93614,-83.33661,"Lapeer County","Metamora","Michigan","$10000","1-Single Family Dwelling","Unknown","$245321"
"Javier","Lindgren",39.42646,-109.85188,"Grand County","BP Spring","Utah","","1-Single Family Dwelling","Residential","$225300"
"Andreas","Prohaska",41.78204,-73.75791,"Dutchess County","Washington Hollow","New York","$6000","1-Single Family Dwelling","Residential","$660900"
"Clifford","Kreiger",40.03904,-122.89362,"Tehama County","Ides Cove National Recreation Trail","California","$10000","1-Single Family Dwelling","Residential","$162239"
"Illa","Witting",26.42557,-81.44215,"Collier County","Immokalee","Florida","","1-Single Family Dwelling","Residential","$158800"
"Elenora","Lakin",40.36223,-97.2215,"Saline County","Western","Nebraska","$10000","1-Single Family Dwelling","Apartment/Group Living","$166911"
"Ressie","Sanford",40.16871,-76.16717,"Lancaster County","Ephrata","Pennsylvania","$4000","1-Single Family Dwelling","Apartment/Group Living","$287500"
"Clifford","Harvey",40.75438,-75.6114,"Lehigh County","Slatington","Pennsylvania","","1-Single Family Dwelling","Residential","$245000"
"Arlen","Glover",36.332,-85.6272,"Jackson County","Dudney Hill","Tennessee","$35000","1-Single Family Dwelling","Unknown","$210576"
"Maria","Legros",38.72769,-119.38488,"Lyon County","Smith Valley","Nevada","$27000","1-Single Family Dwelling","Residential","$196900"
"Antone","Feeney",44.07141,-83.70082,"Arenac County","Au Gres","Michigan","$14000","101 and up","Residential","$179999"
"Vivienne","Ledner",44.15553,-89.62623,"Adams County","Coloma-Leola Cemetery","Wisconsin","$25000","1-Single Family Dwelling","Residential","$162500"
"Katrice","Koch",33.65316,-86.64777,"Jefferson County","Chalkville","Alabama","$10000","1-Single Family Dwelling","Residential","$135000"
"Chi","Conn",39.08339,-94.67986,"Wyandotte County","Kansas City","Kansas","","1-Single Family Dwelling","Residential","$123400"
"Stella","Lesch",31.54158,-91.6021,"Concordia Parish","Lucerna (historical)","Louisiana","","1-Single Family Dwelling","Residential","$159800"
"Elvin","Kiehn",35.77703,-83.98268,"Blount County","Maryville","Tennessee","$7000","1-Single Family Dwelling","Residential","$247200"
"Lilla","Homenick",45.83487,-117.26322,"Wallowa County","Joseph Canyon Viewpoint","Oregon","$15000","","Residential","$216800"
"Vincent","Koepp",47.32136,-109.92353,"Fergus County","Denton","Montana","$9000","1-Single Family Dwelling","Apartment/Group Living","$202157"
"Cornell","Lang",26.96455,-99.04526,"Zapata County","Bustamante","Texas","$17000","1-Single Family Dwelling","Residential","$150400"
"Tobias","Stracke",39.6852,-92.94476,"Chariton County","Marceline","Missouri","$6000","1-Single Family Dwelling","Residential","$221100"
"Cletus","Auer",43.55707,-121.34308,"Lake County","Spring Butte Well Camp","Oregon","","1-Single Family Dwelling","Residential","$115800"
"Krystina","Feeney",36.94836,-99.99041,"Harper County","Oknoname 05901 Dam","Oklahoma","$16000","1-Single Family Dwelling","Residential","$409300"
"Boyd","Bauch",41.88196,-91.34878,"Cedar County","Lisbon","Iowa","","1-Single Family Dwelling","Residential","$534100"
"Morgan","Bogan",37.29347,-79.85254,"Roanoke County","Vinton","Virginia","$17000","1-Single Family Dwelling","Residential","$355000"
"Barton","Wuckert",35.22039,-82.05067,"Polk County","Green Creek","North Carolina","$15000","1-Single Family Dwelling","Apartment/Group Living","$133000"
"Loyd","Carroll",36.8668,-80.41561,"Floyd County","Shelors Mill","Virginia","$9000","5-9","Residential","$210000"
"Clementine","Schuppe",40.8975,-93.73494,"Decatur County","Weldon","Iowa","$6000","1-Single Family Dwelling","Residential","$262500"
"Kendal","Abshire",39.86271,-115.20476,"White Pine County","Robison Well","Nevada","$9000","1-Single Family Dwelling","Apartment/Group Living","$149400"
"Dewayne","Herman",35.87368,-86.72639,"Williamson County","Hillwood Acres","Tennessee","","","Residential","$240900"
"Olinda","Murphy",38.94622,-77.07803,"Washington County","Washington, D.C.","Washington, D.C.","$23000","1-Single Family Dwelling","Unknown","$182320"
"Margarito","Beatty",36.76561,-90.65206,"Ripley County","Beaverdam","Missouri","","1-Single Family Dwelling","Apartment/Group Living","$197753"
"Carter","Corwin",37.20068,-80.60951,"Pulaski County","Parrott","Virginia","","1-Single Family Dwelling","Residential","$208028"
"Gregorio","Rodriguez",41.68316,-72.60676,"Hartford County","Glastonbury","Connecticut","$10000","1-Single Family Dwelling","Residential","$1188300"
"Latrina","Crist",38.41865,-82.29321,"Cabell County","Barboursville","West Virginia","","1-Single Family Dwelling","Residential","$134000"
"Chas","Purdy",36.83665,-111.58655,"Coconino County","Chair Crossing","Arizona","","","Residential","$362200"
"Debrah","Denesik",35.32211,-76.57021,"Pamlico County","Lowland","North Carolina","","101 and up","Residential","$625000"
"Latricia","Wyman",27.70031,-82.74955,"Pinellas County","Saint Pete Beach","Florida","","1-Single Family Dwelling","Residential","$132000"
"Jill","Boyle",39.15511,-76.04883,"Queen Anne's County","Chestertown","Maryland","","1-Single Family Dwelling","Triplex","$269800"
"Brady","Luettgen",29.76561,-90.29614,"Saint Charles Parish","Chaudiere Casse","Louisiana","$2000","1-Single Family Dwelling","Residential","$186300"
"Fred","Kirlin",33.81342,-103.4269,"Roosevelt County","New Hope (historical)","New Mexico","","4","Residential","$137500"
"Carolina","Gottlieb",37.52314,-97.20259,"Sedgwick County","Derby","Kansas","$14000","","Residential","$198152"
"Christian","Kozey",35.77703,-83.98268,"Blount County","Maryville","Tennessee","","1-Single Family Dwelling","Residential","$202575"
"Darrel","Robel",45.50799,-111.13162,"Gallatin County","Little Bear (historical)","Montana","$14000","1-Single Family Dwelling","Duplex","$166911"
"Ossie","O'Connell",29.90022,-99.01531,"Kerr County","Center Point","Texas","$12000","1-Single Family Dwelling","Apartment/Group Living","$132352"
"Angelina","Schoen",37.96839,-86.64304,"Perry County","Lilly Dale","Indiana","$11000","","Apartment/Group Living","$157900"
"Gwenda","O'Keefe",32.5393,-98.49783,"Palo Pinto County","Strawn","Texas","$5000","","Residential","$294100"
"Franklin","Romaguera",42.26517,-116.88818,"Owyhee County","South Fork Owyhee River","Idaho","$5000","1-Single Family Dwelling","Residential","$176800"
"Carroll","Yundt",47.78855,-115.0082,"Sanders County","Semem Creek","Montana","$8000","1-Single Family Dwelling","Apartment/Group Living","$87500"
"Staci","Mosciski",36.88034,-85.24024,"Russell County","Ribbon","Kentucky","$21000","1-Single Family Dwelling","Residential","$202300"
"Tristan","Lang",30.02249,-98.10237,"Hays County","Woodcreek","Texas","","1-Single Family Dwelling","Residential","$268200"
"Britt","Wilkinson",45.46489,-116.10958,"Idaho County","Seaburg","Idaho","","1-Single Family Dwelling","Residential","$325000"
"Dallas","Krajcik",40.01392,-80.7329,"Marshall County","Wheeling","West Virginia","$43000","1-Single Family Dwelling","Apartment/Group Living","$375000"
"Grayce","Abshire",40.11359,-101.43397,"Dundy County","Benkelman Number 2 Election Precinct","Nebraska","$9000","1-Single Family Dwelling","Residential","$118300"
"Hyacinth","Herman",38.55873,-76.78163,"Charles County","Hughesville","Maryland","","1-Single Family Dwelling","Residential","$170200"
"Damien","Johnston",32.69597,-97.10362,"Tarrant County","Arlington","Texas","$17000","1-Single Family Dwelling","Residential","$242700"
"Todd","Legros",43.45655,-116.77152,"Owyhee County","Riverside","Idaho","$5000","","Residential","$311100"
"Freeman","Bednar",36.33821,-76.74356,"Gates County","Gatesville","North Carolina","$3000","50-100","Residential","$221800"
"Silas","Boyer",27.22532,-80.25144,"Martin County","Stuart","Florida","$10000","1-Single Family Dwelling","Residential","$129700"
"Rafael","Daniel",38.8295,-85.64802,"Jennings County","Paris Crossing","Indiana","$24000","1-Single Family Dwelling","Residential","$99400"
"Roxann","Kozey",48.00617,-107.83504,"Phillips County","Puckett Reservoir","Montana","$12000","1-Single Family Dwelling","Residential","$1472200"
"Randy","Price",38.01311,-89.6301,"Randolph County","Steeleville","Illinois","$20000","1-Single Family Dwelling","Residential","$170967"
"Rocco","Huel",34.2251,-91.90986,"Jefferson County","Lamberts (historical)","Arkansas","","","Residential","$205300"
"Sofia","Ortiz",47.9039,-105.45583,"McCone County","25N48E24DAAB01 Well","Montana","$8000","","Residential","$195624"
"Ahmed","Macejkovic",37.29582,-112.8241,"Kane County","Jolly Ranch","Utah","","1-Single Family Dwelling","Residential","$104300"
"Lucius","Skiles",32.38401,-99.43112,"Callahan County","Clyde","Texas","$34000","1-Single Family Dwelling","Residential","$94500"
"Arturo","Franecki",38.35371,-84.16368,"Robertson County","Hooktown","Kentucky","$13000","1-Single Family Dwelling","Residential","$68300"
"Delcie","Johnston",41.10182,-122.3789,"Shasta County","Sims","California","$23000","","Residential","$131000"
"Andree","Towne",40.73528,-82.8325,"Crawford County","Galion","Ohio","$17000","1-Single Family Dwelling","Residential","$148100"
"Victor","Feeney",35.23397,-92.38765,"Faulkner County","Greenbrier","Arkansas","$15000","1-Single Family Dwelling","Apartment/Group Living","$242977"
"Pauletta","Baumbach",45.22715,-113.432,"Beaverhead County","Saginaw Mine","Montana","$9000","1-Single Family Dwelling","Residential","$212500"
"Lindsay","Hyatt",29.79632,-90.90426,"Lafourche Parish","Thibodaux","Louisiana","$7000","1-Single Family Dwelling","Residential","$210600"
"Cristin","Robel",41.80832,-95.91695,"Harrison County","Pisgah","Iowa","","","Unknown","$186438"
"Mervin","Ankunding",40.3262,-74.79062,"Mercer County","Ewing","New Jersey","","1-Single Family Dwelling","Residential","$83100"
"Tawna","Johns",39.25785,-81.6129,"Wood County","Parkersburg","West Virginia","$17000","1-Single Family Dwelling","Residential","$184523"
"Yolande","Rosenbaum",44.44972,-86.20111,"Manistee County","Arcadia","Michigan","$19000","1-Single Family Dwelling","Residential","$163300"
"Bobbye","Hand",37.10373,-104.3462,"Las Animas County","San Miguel","Colorado","$6000","1-Single Family Dwelling","Residential","$453500"
"Earle","Schuppe",46.31497,-94.48529,"Morrison County","Pillager","Minnesota","","1-Single Family Dwelling","Residential","$205700"
"Lauryn","Murphy",39.19476,-92.59713,"Howard County","Burton","Missouri","$5000","1-Single Family Dwelling","Apartment/Group Living","$197753"
"Edwin","Skiles",21.99102,-159.3332,"Kauai County","Lihue","Hawaii","$19000","1-Single Family Dwelling","Residential","$197600"
"Armando","Pouros",44.7433,-92.15629,"Pierce County","Elmwood","Wisconsin","$21000","20-49","Residential","$310600"
"Chase","Kuphal",33.2354,-87.58973,"Tuscaloosa County","Tuscaloosa","Alabama","","1-Single Family Dwelling","Residential","$187797"
"Clyde","Brakus",33.01818,-87.71251,"Tuscaloosa County","Shadowood","Alabama","","1-Single Family Dwelling","Residential","$167600"
"Kattie","King",33.16207,-92.35292,"Union County","Strong","Arkansas","$27000","","Residential","$237499"
"Rolland","O'Keefe",29.12884,-89.05227,"Plaquemines Parish","Balize (historical)","Louisiana","$17000","1-Single Family Dwelling","Residential","$150800"
"Sharla","Will",47.44445,-105.77223,"McCone County","20N47E31DDBC01 Well","Montana","$17000","1-Single Family Dwelling","Residential","$87500"
"Tim","Rau",39.585,-75.66211,"New Castle County","Bear","Delaware","$13000","","Residential","$69761"
"Susannah","Dooley",43.04262,-75.91015,"Madison County","Chittenango","New York","$17000","1-Single Family Dwelling","Apartment/Group Living","$165526"
"Saturnina","Cartwright",39.41811,-85.12246,"Franklin County","Metamora","Indiana","$7000","1-Single Family Dwelling","Residential","$268700"
"Larisa","Skiles",42.39166,-91.37376,"Delaware County","Delhi","Iowa","$12000","1-Single Family Dwelling","Residential","$224936"
"Chuck","O'Kon",43.70328,-110.36936,"Teton County","East Leidy","Wyoming","","1-Single Family Dwelling","Residential","$145500"
"Joane","Jacobson",36.35022,-77.30575,"Northampton County","Lasker","North Carolina","","1-Single Family Dwelling","Residential","$137500"
"Jean","Jenkins",45.015,-93.4911,"Hennepin County","Plymouth","Minnesota","$11000","1-Single Family Dwelling","Residential","$181800"
"Shea","Dickens",41.4507,-88.27907,"Grundy County","Minooka","Illinois","$20000","","Residential","$150800"
"Julissa","Walter",39.78344,-75.69966,"New Castle County","Hockessin","Delaware","$35000","","Residential","$87500"
"Marisol","Emmerich",42.50417,-97.20422,"Cedar County","Coleridge","Nebraska","$10000","1-Single Family Dwelling","Residential","$236500"
"Samantha","Greenholt",45.02144,-70.66535,"Franklin County","Loon Lake","Maine","$12000","101 and up","Apartment/Group Living","$187500"
"Maurita","Stamm",34.16925,-103.58829,"Roosevelt County","Floyd","New Mexico","","1-Single Family Dwelling","Residential","$369300"
"Elroy","Cummerata",39.53397,-80.60982,"Wetzel County","Jacksonburg","West Virginia","$13000","1-Single Family Dwelling","Residential","$62900"
"Roscoe","Orn",45.10251,-85.0795,"Antrim County","East Jordan","Michigan","$14000","1-Single Family Dwelling","Residential","$362541"
"Erick","Marvin",32.18064,-107.90587,"Luna County","Tunis","New Mexico","$33000","1-Single Family Dwelling","Unknown","$165526"
"Elly","Hudson",32.07932,-91.99069,"Caldwell Parish","Fredericksburg (historical)","Louisiana","$10000","","Residential","$208100"
"Ezekiel","Frami",34.79648,-96.37639,"Hughes County","Citra","Oklahoma","$35000","","Apartment/Group Living","$135400"
"Scotty","Bernhard",31.68044,-89.53035,"Covington County","Collins","Mississippi","$5000","1-Single Family Dwelling","Residential","$190200"
"Lasandra","Sporer",29.6313,-81.6577,"Putnam County","Palatka","Florida","","","Residential","$140624"
"Kareem","Schowalter",42.23296,-115.29701,"Owyhee County","Burnt Butte","Idaho","$23000","1-Single Family Dwelling","Residential","$168200"
"Winfred","Kuphal",34.18602,-95.67244,"Pushmataha County","Antlers","Oklahoma","$14000","1-Single Family Dwelling","Residential","$104800"
"Irving","Wilderman",41.34651,-81.36866,"Portage County","Aurora","Ohio","","1-Single Family Dwelling","Residential","$187797"
"Carri","Ziemann",44.21673,-74.5949,"St. Lawrence County","Conifer","New York","$16000","1-Single Family Dwelling","Residential","$178400"
"Lorette","Jakubowski",40.16871,-76.16717,"Lancaster County","Ephrata","Pennsylvania","$16000","1-Single Family Dwelling","Residential","$85600"
"Melba","Rosenbaum",36.60094,-95.98119,"Washington County","Ochelata","Oklahoma","$13000","1-Single Family Dwelling","Residential","$208100"
"Ivana","Becker",45.22865,-95.00966,"Kandiyohi County","Spicer","Minnesota","$4000","2-Duplex","Unknown","$245321"
"Abel","Olson",40.72306,-73.83861,"Queens County","Queens","New York","$8000","1-Single Family Dwelling","Residential","$466400"
"Ivey","Satterfield",36.47414,-114.34609,"Clark County","Saint Thomas (historical)","Nevada","$7000","1-Single Family Dwelling","Residential","$311500"
"Armando","Witting",40.52812,-83.00769,"Marion County","Beech (historical)","Ohio","$34000","","Residential","$370400"
"Julian","Rodriguez",31.66711,-89.14978,"Jones County","Laurel","Mississippi","$12000","1-Single Family Dwelling","Residential","$344200"
"Willena","Becker",41.28773,-89.36416,"Bureau County","Bureau","Illinois","$10000","1-Single Family Dwelling","Residential","$398400"
"Angelo","Langworth",33.399,-85.37356,"Randolph County","Providence","Alabama","$16000","1-Single Family Dwelling","Condominium","$197753"
"Ashley","Klocko",47.7105,-113.83704,"Lake County","23N17W31BCCA01 Well","Montana","$10000","1-Single Family Dwelling","Apartment/Group Living","$87500"
"Avery","Thompson",42.30257,-73.32452,"Berkshire County","Stockbridge","Massachusetts","$16000","1-Single Family Dwelling","Residential","$79800"
"Samual","Cronin",30.38724,-84.04081,"Jefferson County","Wacissa","Florida","$20000","","Residential","$94800"
"Ehtel","Dare",40.34677,-75.30073,"Bucks County","Sellersville","Pennsylvania","$17000","1-Single Family Dwelling","Residential","$182142"
"Agustin","O'Reilly",38.10727,-87.00666,"Spencer County","Rockport Junction","Indiana","$8000","1-Single Family Dwelling","Residential","$107600"
"Lela","Heidenreich",40.07364,-83.5569,"Champaign County","Mechanicsburg","Ohio","$25000","1-Single Family Dwelling","Residential","$162500"
"Gabriele","Corwin",39.90554,-107.34783,"Garfield County","Lost Solar Park","Colorado","$14000","","Apartment/Group Living","$165526"
"Bella","Sauer",32.60101,-80.99261,"Jasper County","Gillisonville","South Carolina","$8000","1-Single Family Dwelling","Residential","$137500"
"Devon","Lynch",40.51899,-74.27681,"Middlesex County","Perth Amboy","New Jersey","$9000","1-Single Family Dwelling","Unknown","$224936"
"Max","Ziemann",48.18876,-88.40424,"Keweenaw County","Rock Harbor Post Office (historical)","Michigan","$9000","1-Single Family Dwelling","Residential","$120900"
"Gidget","Adams",35.47003,-106.65892,"Sandoval County","Santa Ana Pueblo","New Mexico","$18000","1-Single Family Dwelling","Unknown","$162239"
"Ricky","Olson",43.34806,-92.26111,"Howard County","Davis Corners","Iowa","$4000","1-Single Family Dwelling","Residential","$173300"
"Carl","Yost",31.03157,-85.43854,"Houston County","Garretts Crossroads","Alabama","$10000","1-Single Family Dwelling","Residential","$142800"
"Tessie","Schiller",31.03157,-85.43854,"Houston County","Garretts Crossroads","Alabama","$23000","1-Single Family Dwelling","Unknown","$191864"
"Shaquita","Hamill",33.03762,-85.09633,"Troup County","LaGrange","Georgia","$34000","1-Single Family Dwelling","Residential","$12500"
"Donald","Stehr",40.60072,-89.59975,"Tazewell County","Pekin","Illinois","","1-Single Family Dwelling","Residential","$113500"
"Kaley","McKenzie",36.65292,-106.05383,"Rio Arriba County","Tres Piedras Weather Station","New Mexico","","1-Single Family Dwelling","Apartment/Group Living","$140624"
"Kenia","Swift",35.92349,-77.55164,"Edgecombe County","Tarboro","North Carolina","$14000","","Residential","$49300"
"Lee","Abernathy",33.56071,-81.07149,"Orangeburg County","North","South Carolina","","","Residential","$310800"
"Tammie","Rau",27.75892,-82.63315,"Pinellas County","St. Petersburg","Florida","$12000","1-Single Family Dwelling","Residential","$186100"
"Lawrence","Heller",40.40723,-99.44232,"Phelps County","Clyde","Nebraska","","1-Single Family Dwelling","Apartment/Group Living","$72307"
"Phylis","Kilback",44.24773,-91.04486,"Jackson County","Disco","Wisconsin","$14000","1-Single Family Dwelling","Residential","$333950"
"Linwood","Legros",39.98694,-95.14498,"Holt County","Oregon","Missouri","$20000","20-49","Residential","$228976"
"Beulah","Cremin",35.84174,-84.60327,"Roane County","Rockwood","Tennessee","$7000","3-Triplex","Residential","$282600"
"Terrence","Orn",36.24953,-83.7513,"Union County","Maynardville","Tennessee","$5000","1-Single Family Dwelling","Apartment/Group Living","$112500"
"Stanford","Dare",33.89066,-86.94583,"Cullman County","Arkadelphia","Alabama","$9000","1-Single Family Dwelling","Residential","$148000"
"Cornelius","Langworth",40.89229,-88.40617,"Livingston County","Saunemin","Illinois","$8000","1-Single Family Dwelling","Residential","$324500"
"Edythe","Kuvalis",29.96104,-92.60431,"Vermilion Parish","Cameron Canal Gas Field","Louisiana","$4000","1-Single Family Dwelling","Residential","$575800"
"Domenica","Lemke",34.35503,-89.02218,"Pontotoc County","Ecru","Mississippi","$5000","1-Single Family Dwelling","Residential","$215200"
"King","Flatley",37.20588,-90.86984,"Reynolds County","Ruble","Missouri","$3000","1-Single Family Dwelling","Residential","$325000"
"Philip","Swaniawski",34.58182,-80.31951,"Chesterfield County","Angelus","South Carolina","$13000","1-Single Family Dwelling","Residential","$82500"
"Karisa","Rosenbaum",40.15259,-91.22157,"Adams County","Loraine","Illinois","","1-Single Family Dwelling","Residential","$133500"
"Lowell","O'Reilly",34.56842,-97.40864,"Garvin County","Satterwhite","Oklahoma","","1-Single Family Dwelling","Residential","$433600"
"Natalie","Douglas",40.23612,-74.00147,"Monmouth County","Asbury Park","New Jersey","$5000","1-Single Family Dwelling","Residential","$230400"
"Shelton","Mertz",38.95067,-76.72719,"Prince George's County","Bowie","Maryland","$8000","1-Single Family Dwelling","Residential","$127100"
